-24.89994997 -0.00005296 -0.00000116 	-24.89994997 -0.00030202 -0.00000449	-24.89994997 -0.00044192 -0.00000702 	-24.89994997 -0.00136578 -0.00002376 
-24.87493747 -0.00005306 -0.00000117 	-24.87493747 -0.00030241 -0.00000452	-24.87493747 -0.00044252 -0.00000706 	-24.87493747 -0.00136776 -0.00002384 
-24.84992496 -0.00005316 -0.00000117 	-24.84992496 -0.00030280 -0.00000453	-24.84992496 -0.00044312 -0.00000708 	-24.84992496 -0.00136974 -0.00002390 
-24.82491246 -0.00005325 -0.00000117 	-24.82491246 -0.00030317 -0.00000455	-24.82491246 -0.00044370 -0.00000710 	-24.82491246 -0.00137174 -0.00002396 
-24.79989995 -0.00005335 -0.00000117 	-24.79989995 -0.00030353 -0.00000453	-24.79989995 -0.00044428 -0.00000710 	-24.79989995 -0.00137374 -0.00002404 
-24.77488744 -0.00005346 -0.00000119 	-24.77488744 -0.00030392 -0.00000455	-24.77488744 -0.00044488 -0.00000712 	-24.77488744 -0.00137576 -0.00002410 
-24.74987494 -0.00005355 -0.00000118 	-24.74987494 -0.00030430 -0.00000456	-24.74987494 -0.00044548 -0.00000714 	-24.74987494 -0.00137776 -0.00002416 
-24.72486243 -0.00005366 -0.00000119 	-24.72486243 -0.00030469 -0.00000458	-24.72486243 -0.00044608 -0.00000716 	-24.72486243 -0.00137978 -0.00002422 
-24.69984992 -0.00005375 -0.00000120 	-24.69984992 -0.00030505 -0.00000459	-24.69984992 -0.00044666 -0.00000718 	-24.69984992 -0.00138178 -0.00002428 
-24.67483742 -0.00005385 -0.00000119 	-24.67483742 -0.00030546 -0.00000462	-24.67483742 -0.00044728 -0.00000722 	-24.67483742 -0.00138382 -0.00002436 
-24.64982491 -0.00005394 -0.00000120 	-24.64982491 -0.00030584 -0.00000462	-24.64982491 -0.00044788 -0.00000722 	-24.64982491 -0.00138586 -0.00002442 
-24.62481241 -0.00005405 -0.00000120 	-24.62481241 -0.00030622 -0.00000463	-24.62481241 -0.00044848 -0.00000724 	-24.62481241 -0.00138790 -0.00002450 
-24.59979990 -0.00005415 -0.00000120 	-24.59979990 -0.00030661 -0.00000464	-24.59979990 -0.00044908 -0.00000726 	-24.59979990 -0.00138994 -0.00002456 
-24.57478739 -0.00005426 -0.00000121 	-24.57478739 -0.00030698 -0.00000465	-24.57478739 -0.00044968 -0.00000728 	-24.57478739 -0.00139200 -0.00002464 
-24.54977489 -0.00005434 -0.00000122 	-24.54977489 -0.00030739 -0.00000467	-24.54977489 -0.00045030 -0.00000730 	-24.54977489 -0.00139404 -0.00002470 
-24.52476238 -0.00005444 -0.00000122 	-24.52476238 -0.00030777 -0.00000468	-24.52476238 -0.00045090 -0.00000732 	-24.52476238 -0.00139610 -0.00002476 
-24.49974987 -0.00005455 -0.00000122 	-24.49974987 -0.00030817 -0.00000469	-24.49974987 -0.00045152 -0.00000734 	-24.49974987 -0.00139816 -0.00002484 
-24.47473737 -0.00005465 -0.00000123 	-24.47473737 -0.00030855 -0.00000470	-24.47473737 -0.00045212 -0.00000736 	-24.47473737 -0.00140024 -0.00002490 
-24.44972486 -0.00005476 -0.00000123 	-24.44972486 -0.00030895 -0.00000472	-24.44972486 -0.00045274 -0.00000738 	-24.44972486 -0.00140232 -0.00002496 
-24.42471236 -0.00005486 -0.00000123 	-24.42471236 -0.00030932 -0.00000473	-24.42471236 -0.00045334 -0.00000740 	-24.42471236 -0.00140440 -0.00002504 
-24.39969985 -0.00005495 -0.00000123 	-24.39969985 -0.00030974 -0.00000474	-24.39969985 -0.00045398 -0.00000742 	-24.39969985 -0.00140648 -0.00002510 
-24.37468734 -0.00005507 -0.00000124 	-24.37468734 -0.00031014 -0.00000475	-24.37468734 -0.00045460 -0.00000744 	-24.37468734 -0.00140858 -0.00002518 
-24.34967484 -0.00005517 -0.00000123 	-24.34967484 -0.00031051 -0.00000477	-24.34967484 -0.00045520 -0.00000746 	-24.34967484 -0.00141070 -0.00002524 
-24.32466233 -0.00005527 -0.00000124 	-24.32466233 -0.00031093 -0.00000478	-24.32466233 -0.00045584 -0.00000748 	-24.32466233 -0.00141278 -0.00002532 
-24.29964982 -0.00005538 -0.00000124 	-24.29964982 -0.00031132 -0.00000479	-24.29964982 -0.00045646 -0.00000750 	-24.29964982 -0.00141492 -0.00002538 
-24.27463732 -0.00005547 -0.00000126 	-24.27463732 -0.00031172 -0.00000480	-24.27463732 -0.00045708 -0.00000752 	-24.27463732 -0.00141702 -0.00002546 
-24.24962481 -0.00005557 -0.00000126 	-24.24962481 -0.00031213 -0.00000482	-24.24962481 -0.00045772 -0.00000754 	-24.24962481 -0.00141916 -0.00002552 
-24.22461231 -0.00005568 -0.00000127 	-24.22461231 -0.00031253 -0.00000483	-24.22461231 -0.00045834 -0.00000756 	-24.22461231 -0.00142126 -0.00002560 
-24.19959980 -0.00005579 -0.00000127 	-24.19959980 -0.00031293 -0.00000484	-24.19959980 -0.00045898 -0.00000758 	-24.19959980 -0.00142342 -0.00002568 
-24.17458729 -0.00005590 -0.00000127 	-24.17458729 -0.00031333 -0.00000485	-24.17458729 -0.00045960 -0.00000760 	-24.17458729 -0.00142554 -0.00002574 
-24.14957479 -0.00005599 -0.00000127 	-24.14957479 -0.00031371 -0.00000486	-24.14957479 -0.00046022 -0.00000762 	-24.14957479 -0.00142770 -0.00002582 
-24.12456228 -0.00005612 -0.00000127 	-24.12456228 -0.00031412 -0.00000488	-24.12456228 -0.00046086 -0.00000764 	-24.12456228 -0.00142986 -0.00002588 
-24.09954977 -0.00005621 -0.00000127 	-24.09954977 -0.00031456 -0.00000489	-24.09954977 -0.00046152 -0.00000766 	-24.09954977 -0.00143200 -0.00002596 
-24.07453727 -0.00005632 -0.00000129 	-24.07453727 -0.00031497 -0.00000490	-24.07453727 -0.00046216 -0.00000768 	-24.07453727 -0.00143418 -0.00002602 
-24.04952476 -0.00005644 -0.00000129 	-24.04952476 -0.00031535 -0.00000491	-24.04952476 -0.00046278 -0.00000770 	-24.04952476 -0.00143634 -0.00002612 
-24.02451226 -0.00005654 -0.00000129 	-24.02451226 -0.00031578 -0.00000492	-24.02451226 -0.00046344 -0.00000772 	-24.02451226 -0.00143854 -0.00002618 
-23.99949975 -0.00005665 -0.00000130 	-23.99949975 -0.00031616 -0.00000494	-23.99949975 -0.00046406 -0.00000774 	-23.99949975 -0.00144072 -0.00002626 
-23.97448724 -0.00005675 -0.00000129 	-23.97448724 -0.00031659 -0.00000495	-23.97448724 -0.00046472 -0.00000776 	-23.97448724 -0.00144290 -0.00002634 
-23.94947474 -0.00005685 -0.00000129 	-23.94947474 -0.00031702 -0.00000496	-23.94947474 -0.00046538 -0.00000778 	-23.94947474 -0.00144510 -0.00002640 
-23.92446223 -0.00005697 -0.00000131 	-23.92446223 -0.00031742 -0.00000497	-23.92446223 -0.00046602 -0.00000780 	-23.92446223 -0.00144730 -0.00002648 
-23.89944972 -0.00005707 -0.00000131 	-23.89944972 -0.00031785 -0.00000499	-23.89944972 -0.00046668 -0.00000782 	-23.89944972 -0.00144952 -0.00002654 
-23.87443722 -0.00005718 -0.00000131 	-23.87443722 -0.00031825 -0.00000500	-23.87443722 -0.00046732 -0.00000784 	-23.87443722 -0.00145174 -0.00002662 
-23.84942471 -0.00005730 -0.00000132 	-23.84942471 -0.00031867 -0.00000503	-23.84942471 -0.00046798 -0.00000788 	-23.84942471 -0.00145396 -0.00002670 
