0	-0.05357465	-0.02291874
0.3	-0.05465511	-0.02620821
0.5	-0.05537212	-0.02839599
1	-0.05717100	-0.03387607 
2	-0.06076169	-0.04482491
5	-0.07152527	-0.07766012
10	-0.08941931	-0.13231524
20	-0.12504052	-0.24136949
30	-0.16043404	-0.35007301
40	-0.19559564	-0.45841591
