-24.89994997 -0.00087002 -0.00001481 	-24.89994997 -0.00030202 -0.00000449	-24.89994997 -0.00044192 -0.00000702 	-24.89994997 -0.00136578 -0.00002376 
-24.87493747 -0.00087126 -0.00001485 	-24.87493747 -0.00030241 -0.00000452	-24.87493747 -0.00044252 -0.00000706 	-24.87493747 -0.00136776 -0.00002384 
-24.84992496 -0.00087249 -0.00001489 	-24.84992496 -0.00030280 -0.00000453	-24.84992496 -0.00044312 -0.00000708 	-24.84992496 -0.00136974 -0.00002390 
-24.82491246 -0.00087374 -0.00001494 	-24.82491246 -0.00030317 -0.00000455	-24.82491246 -0.00044370 -0.00000710 	-24.82491246 -0.00137174 -0.00002396 
-24.79989995 -0.00087499 -0.00001498 	-24.79989995 -0.00030353 -0.00000453	-24.79989995 -0.00044428 -0.00000710 	-24.79989995 -0.00137374 -0.00002404 
-24.77488744 -0.00087623 -0.00001501 	-24.77488744 -0.00030392 -0.00000455	-24.77488744 -0.00044488 -0.00000712 	-24.77488744 -0.00137576 -0.00002410 
-24.74987494 -0.00087749 -0.00001505 	-24.74987494 -0.00030430 -0.00000456	-24.74987494 -0.00044548 -0.00000714 	-24.74987494 -0.00137776 -0.00002416 
-24.72486243 -0.00087874 -0.00001510 	-24.72486243 -0.00030469 -0.00000458	-24.72486243 -0.00044608 -0.00000716 	-24.72486243 -0.00137978 -0.00002422 
-24.69984992 -0.00088001 -0.00001514 	-24.69984992 -0.00030505 -0.00000459	-24.69984992 -0.00044666 -0.00000718 	-24.69984992 -0.00138178 -0.00002428 
-24.67483742 -0.00088127 -0.00001517 	-24.67483742 -0.00030546 -0.00000462	-24.67483742 -0.00044728 -0.00000722 	-24.67483742 -0.00138382 -0.00002436 
-24.64982491 -0.00088254 -0.00001522 	-24.64982491 -0.00030584 -0.00000462	-24.64982491 -0.00044788 -0.00000722 	-24.64982491 -0.00138586 -0.00002442 
-24.62481241 -0.00088380 -0.00001527 	-24.62481241 -0.00030622 -0.00000463	-24.62481241 -0.00044848 -0.00000724 	-24.62481241 -0.00138790 -0.00002450 
-24.59979990 -0.00088508 -0.00001530 	-24.59979990 -0.00030661 -0.00000464	-24.59979990 -0.00044908 -0.00000726 	-24.59979990 -0.00138994 -0.00002456 
-24.57478739 -0.00088635 -0.00001535 	-24.57478739 -0.00030698 -0.00000465	-24.57478739 -0.00044968 -0.00000728 	-24.57478739 -0.00139200 -0.00002464 
-24.54977489 -0.00088764 -0.00001538 	-24.54977489 -0.00030739 -0.00000467	-24.54977489 -0.00045030 -0.00000730 	-24.54977489 -0.00139404 -0.00002470 
-24.52476238 -0.00088891 -0.00001542 	-24.52476238 -0.00030777 -0.00000468	-24.52476238 -0.00045090 -0.00000732 	-24.52476238 -0.00139610 -0.00002476 
-24.49974987 -0.00089021 -0.00001547 	-24.49974987 -0.00030817 -0.00000469	-24.49974987 -0.00045152 -0.00000734 	-24.49974987 -0.00139816 -0.00002484 
-24.47473737 -0.00089151 -0.00001551 	-24.47473737 -0.00030855 -0.00000470	-24.47473737 -0.00045212 -0.00000736 	-24.47473737 -0.00140024 -0.00002490 
-24.44972486 -0.00089279 -0.00001555 	-24.44972486 -0.00030895 -0.00000472	-24.44972486 -0.00045274 -0.00000738 	-24.44972486 -0.00140232 -0.00002496 
-24.42471236 -0.00089409 -0.00001559 	-24.42471236 -0.00030932 -0.00000473	-24.42471236 -0.00045334 -0.00000740 	-24.42471236 -0.00140440 -0.00002504 
-24.39969985 -0.00089539 -0.00001565 	-24.39969985 -0.00030974 -0.00000474	-24.39969985 -0.00045398 -0.00000742 	-24.39969985 -0.00140648 -0.00002510 
-24.37468734 -0.00089670 -0.00001567 	-24.37468734 -0.00031014 -0.00000475	-24.37468734 -0.00045460 -0.00000744 	-24.37468734 -0.00140858 -0.00002518 
-24.34967484 -0.00089801 -0.00001573 	-24.34967484 -0.00031051 -0.00000477	-24.34967484 -0.00045520 -0.00000746 	-24.34967484 -0.00141070 -0.00002524 
-24.32466233 -0.00089932 -0.00001577 	-24.32466233 -0.00031093 -0.00000478	-24.32466233 -0.00045584 -0.00000748 	-24.32466233 -0.00141278 -0.00002532 
-24.29964982 -0.00090064 -0.00001581 	-24.29964982 -0.00031132 -0.00000479	-24.29964982 -0.00045646 -0.00000750 	-24.29964982 -0.00141492 -0.00002538 
-24.27463732 -0.00090195 -0.00001586 	-24.27463732 -0.00031172 -0.00000480	-24.27463732 -0.00045708 -0.00000752 	-24.27463732 -0.00141702 -0.00002546 
-24.24962481 -0.00090328 -0.00001591 	-24.24962481 -0.00031213 -0.00000482	-24.24962481 -0.00045772 -0.00000754 	-24.24962481 -0.00141916 -0.00002552 
-24.22461231 -0.00090461 -0.00001594 	-24.22461231 -0.00031253 -0.00000483	-24.22461231 -0.00045834 -0.00000756 	-24.22461231 -0.00142126 -0.00002560 
-24.19959980 -0.00090593 -0.00001600 	-24.19959980 -0.00031293 -0.00000484	-24.19959980 -0.00045898 -0.00000758 	-24.19959980 -0.00142342 -0.00002568 
-24.17458729 -0.00090727 -0.00001603 	-24.17458729 -0.00031333 -0.00000485	-24.17458729 -0.00045960 -0.00000760 	-24.17458729 -0.00142554 -0.00002574 
-24.14957479 -0.00090860 -0.00001607 	-24.14957479 -0.00031371 -0.00000486	-24.14957479 -0.00046022 -0.00000762 	-24.14957479 -0.00142770 -0.00002582 
-24.12456228 -0.00090994 -0.00001612 	-24.12456228 -0.00031412 -0.00000488	-24.12456228 -0.00046086 -0.00000764 	-24.12456228 -0.00142986 -0.00002588 
-24.09954977 -0.00091129 -0.00001617 	-24.09954977 -0.00031456 -0.00000489	-24.09954977 -0.00046152 -0.00000766 	-24.09954977 -0.00143200 -0.00002596 
-24.07453727 -0.00091264 -0.00001621 	-24.07453727 -0.00031497 -0.00000490	-24.07453727 -0.00046216 -0.00000768 	-24.07453727 -0.00143418 -0.00002602 
-24.04952476 -0.00091400 -0.00001626 	-24.04952476 -0.00031535 -0.00000491	-24.04952476 -0.00046278 -0.00000770 	-24.04952476 -0.00143634 -0.00002612 
-24.02451226 -0.00091535 -0.00001630 	-24.02451226 -0.00031578 -0.00000492	-24.02451226 -0.00046344 -0.00000772 	-24.02451226 -0.00143854 -0.00002618 
-23.99949975 -0.00091671 -0.00001636 	-23.99949975 -0.00031616 -0.00000494	-23.99949975 -0.00046406 -0.00000774 	-23.99949975 -0.00144072 -0.00002626 
-23.97448724 -0.00091808 -0.00001640 	-23.97448724 -0.00031659 -0.00000495	-23.97448724 -0.00046472 -0.00000776 	-23.97448724 -0.00144290 -0.00002634 
-23.94947474 -0.00091944 -0.00001643 	-23.94947474 -0.00031702 -0.00000496	-23.94947474 -0.00046538 -0.00000778 	-23.94947474 -0.00144510 -0.00002640 
-23.92446223 -0.00092081 -0.00001649 	-23.92446223 -0.00031742 -0.00000497	-23.92446223 -0.00046602 -0.00000780 	-23.92446223 -0.00144730 -0.00002648 
-23.89944972 -0.00092219 -0.00001654 	-23.89944972 -0.00031785 -0.00000499	-23.89944972 -0.00046668 -0.00000782 	-23.89944972 -0.00144952 -0.00002654 
-23.87443722 -0.00092357 -0.00001658 	-23.87443722 -0.00031825 -0.00000500	-23.87443722 -0.00046732 -0.00000784 	-23.87443722 -0.00145174 -0.00002662 
-23.84942471 -0.00092495 -0.00001663 	-23.84942471 -0.00031867 -0.00000503	-23.84942471 -0.00046798 -0.00000788 	-23.84942471 -0.00145396 -0.00002670 
-23.82441221 -0.00092635 -0.00001667 	-23.82441221 -0.00031907 -0.00000504	-23.82441221 -0.00046862 -0.00000790 	-23.82441221 -0.00145618 -0.00002678 
-23.79939970 -0.00092773 -0.00001672 	-23.79939970 -0.00031952 -0.00000505	-23.79939970 -0.00046930 -0.00000792 	-23.79939970 -0.00145842 -0.00002686 
-23.77438719 -0.00092913 -0.00001677 	-23.77438719 -0.00031992 -0.00000506	-23.77438719 -0.00046994 -0.00000794 	-23.77438719 -0.00146066 -0.00002694 
-23.74937469 -0.00093053 -0.00001681 	-23.74937469 -0.00032036 -0.00000508	-23.74937469 -0.00047062 -0.00000796 	-23.74937469 -0.00146290 -0.00002700 
-23.72436218 -0.00093193 -0.00001687 	-23.72436218 -0.00032078 -0.00000509	-23.72436218 -0.00047128 -0.00000798 	-23.72436218 -0.00146516 -0.00002708 
-23.69934967 -0.00093335 -0.00001692 	-23.69934967 -0.00032122 -0.00000510	-23.69934967 -0.00047196 -0.00000800 	-23.69934967 -0.00146742 -0.00002716 
-23.67433717 -0.00093476 -0.00001697 	-23.67433717 -0.00032163 -0.00000511	-23.67433717 -0.00047262 -0.00000802 	-23.67433717 -0.00146970 -0.00002724 
-23.64932466 -0.00093617 -0.00001700 	-23.64932466 -0.00032207 -0.00000514	-23.64932466 -0.00047330 -0.00000806 	-23.64932466 -0.00147196 -0.00002732 
-23.62431216 -0.00093757 -0.00001705 	-23.62431216 -0.00032246 -0.00000515	-23.62431216 -0.00047394 -0.00000808 	-23.62431216 -0.00147424 -0.00002740 
-23.59929965 -0.00093900 -0.00001711 	-23.59929965 -0.00032290 -0.00000517	-23.59929965 -0.00047462 -0.00000810 	-23.59929965 -0.00147652 -0.00002748 
-23.57428714 -0.00094044 -0.00001715 	-23.57428714 -0.00032336 -0.00000518	-23.57428714 -0.00047532 -0.00000812 	-23.57428714 -0.00147882 -0.00002754 
-23.54927464 -0.00094187 -0.00001720 	-23.54927464 -0.00032377 -0.00000516	-23.54927464 -0.00047598 -0.00000812 	-23.54927464 -0.00148112 -0.00002764 
-23.52426213 -0.00094330 -0.00001725 	-23.52426213 -0.00032421 -0.00000520	-23.52426213 -0.00047666 -0.00000816 	-23.52426213 -0.00148342 -0.00002772 
-23.49924962 -0.00094475 -0.00001732 	-23.49924962 -0.00032464 -0.00000521	-23.49924962 -0.00047734 -0.00000818 	-23.49924962 -0.00148574 -0.00002780 
-23.47423712 -0.00094619 -0.00001736 	-23.47423712 -0.00032509 -0.00000524	-23.47423712 -0.00047804 -0.00000822 	-23.47423712 -0.00148806 -0.00002788 
-23.44922461 -0.00094764 -0.00001741 	-23.44922461 -0.00032550 -0.00000525	-23.44922461 -0.00047870 -0.00000824 	-23.44922461 -0.00149038 -0.00002796 
-23.42421211 -0.00094908 -0.00001746 	-23.42421211 -0.00032593 -0.00000524	-23.42421211 -0.00047938 -0.00000824 	-23.42421211 -0.00149270 -0.00002804 
-23.39919960 -0.00095055 -0.00001750 	-23.39919960 -0.00032640 -0.00000528	-23.39919960 -0.00048010 -0.00000828 	-23.39919960 -0.00149506 -0.00002812 
-23.37418709 -0.00095201 -0.00001756 	-23.37418709 -0.00032683 -0.00000529	-23.37418709 -0.00048078 -0.00000830 	-23.37418709 -0.00149740 -0.00002820 
-23.34917459 -0.00095347 -0.00001760 	-23.34917459 -0.00032728 -0.00000529	-23.34917459 -0.00048148 -0.00000832 	-23.34917459 -0.00149976 -0.00002830 
-23.32416208 -0.00095493 -0.00001766 	-23.32416208 -0.00032771 -0.00000531	-23.32416208 -0.00048216 -0.00000834 	-23.32416208 -0.00150212 -0.00002836 
-23.29914957 -0.00095641 -0.00001770 	-23.29914957 -0.00032816 -0.00000534	-23.29914957 -0.00048286 -0.00000838 	-23.29914957 -0.00150448 -0.00002846 
-23.27413707 -0.00095789 -0.00001776 	-23.27413707 -0.00032860 -0.00000535	-23.27413707 -0.00048356 -0.00000840 	-23.27413707 -0.00150686 -0.00002854 
-23.24912456 -0.00095937 -0.00001781 	-23.24912456 -0.00032905 -0.00000536	-23.24912456 -0.00048426 -0.00000842 	-23.24912456 -0.00150924 -0.00002862 
-23.22411206 -0.00096085 -0.00001786 	-23.22411206 -0.00032949 -0.00000537	-23.22411206 -0.00048496 -0.00000844 	-23.22411206 -0.00151164 -0.00002870 
-23.19909955 -0.00096235 -0.00001792 	-23.19909955 -0.00032996 -0.00000538	-23.19909955 -0.00048568 -0.00000846 	-23.19909955 -0.00151402 -0.00002880 
-23.17408704 -0.00096384 -0.00001797 	-23.17408704 -0.00033038 -0.00000541	-23.17408704 -0.00048636 -0.00000850 	-23.17408704 -0.00151642 -0.00002888 
-23.14907454 -0.00096535 -0.00001803 	-23.14907454 -0.00033084 -0.00000543	-23.14907454 -0.00048708 -0.00000852 	-23.14907454 -0.00151882 -0.00002894 
-23.12406203 -0.00096684 -0.00001808 	-23.12406203 -0.00033130 -0.00000543	-23.12406203 -0.00048780 -0.00000854 	-23.12406203 -0.00152126 -0.00002906 
-23.09904952 -0.00096835 -0.00001812 	-23.09904952 -0.00033175 -0.00000544	-23.09904952 -0.00048850 -0.00000856 	-23.09904952 -0.00152366 -0.00002914 
-23.07403702 -0.00096987 -0.00001818 	-23.07403702 -0.00033221 -0.00000546	-23.07403702 -0.00048922 -0.00000858 	-23.07403702 -0.00152610 -0.00002920 
-23.04902451 -0.00097138 -0.00001824 	-23.04902451 -0.00033266 -0.00000547	-23.04902451 -0.00048994 -0.00000860 	-23.04902451 -0.00152854 -0.00002930 
-23.02401201 -0.00097290 -0.00001828 	-23.02401201 -0.00033312 -0.00000550	-23.02401201 -0.00049066 -0.00000864 	-23.02401201 -0.00153100 -0.00002940 
-22.99899950 -0.00097443 -0.00001834 	-22.99899950 -0.00033358 -0.00000551	-22.99899950 -0.00049138 -0.00000866 	-22.99899950 -0.00153344 -0.00002948 
-22.97398699 -0.00097596 -0.00001840 	-22.97398699 -0.00033401 -0.00000552	-22.97398699 -0.00049208 -0.00000868 	-22.97398699 -0.00153590 -0.00002956 
-22.94897449 -0.00097749 -0.00001845 	-22.94897449 -0.00033449 -0.00000553	-22.94897449 -0.00049282 -0.00000870 	-22.94897449 -0.00153836 -0.00002966 
-22.92396198 -0.00097903 -0.00001851 	-22.92396198 -0.00033495 -0.00000556	-22.92396198 -0.00049354 -0.00000874 	-22.92396198 -0.00154084 -0.00002976 
-22.89894947 -0.00098058 -0.00001856 	-22.89894947 -0.00033540 -0.00000554	-22.89894947 -0.00049426 -0.00000874 	-22.89894947 -0.00154332 -0.00002984 
