-24.89994997 -0.00046421 -0.00000744 	-24.89994997 -0.00030202 -0.00000449	-24.89994997 -0.00044192 -0.00000702 	-24.89994997 -0.00136578 -0.00002376 
-24.87493747 -0.00046483 -0.00000746 	-24.87493747 -0.00030241 -0.00000452	-24.87493747 -0.00044252 -0.00000706 	-24.87493747 -0.00136776 -0.00002384 
-24.84992496 -0.00046545 -0.00000748 	-24.84992496 -0.00030280 -0.00000453	-24.84992496 -0.00044312 -0.00000708 	-24.84992496 -0.00136974 -0.00002390 
-24.82491246 -0.00046607 -0.00000749 	-24.82491246 -0.00030317 -0.00000455	-24.82491246 -0.00044370 -0.00000710 	-24.82491246 -0.00137174 -0.00002396 
-24.79989995 -0.00046671 -0.00000752 	-24.79989995 -0.00030353 -0.00000453	-24.79989995 -0.00044428 -0.00000710 	-24.79989995 -0.00137374 -0.00002404 
-24.77488744 -0.00046733 -0.00000754 	-24.77488744 -0.00030392 -0.00000455	-24.77488744 -0.00044488 -0.00000712 	-24.77488744 -0.00137576 -0.00002410 
-24.74987494 -0.00046795 -0.00000755 	-24.74987494 -0.00030430 -0.00000456	-24.74987494 -0.00044548 -0.00000714 	-24.74987494 -0.00137776 -0.00002416 
-24.72486243 -0.00046858 -0.00000758 	-24.72486243 -0.00030469 -0.00000458	-24.72486243 -0.00044608 -0.00000716 	-24.72486243 -0.00137978 -0.00002422 
-24.69984992 -0.00046921 -0.00000759 	-24.69984992 -0.00030505 -0.00000459	-24.69984992 -0.00044666 -0.00000718 	-24.69984992 -0.00138178 -0.00002428 
-24.67483742 -0.00046986 -0.00000762 	-24.67483742 -0.00030546 -0.00000462	-24.67483742 -0.00044728 -0.00000722 	-24.67483742 -0.00138382 -0.00002436 
-24.64982491 -0.00047049 -0.00000764 	-24.64982491 -0.00030584 -0.00000462	-24.64982491 -0.00044788 -0.00000722 	-24.64982491 -0.00138586 -0.00002442 
-24.62481241 -0.00047112 -0.00000765 	-24.62481241 -0.00030622 -0.00000463	-24.62481241 -0.00044848 -0.00000724 	-24.62481241 -0.00138790 -0.00002450 
-24.59979990 -0.00047176 -0.00000768 	-24.59979990 -0.00030661 -0.00000464	-24.59979990 -0.00044908 -0.00000726 	-24.59979990 -0.00138994 -0.00002456 
-24.57478739 -0.00047241 -0.00000770 	-24.57478739 -0.00030698 -0.00000465	-24.57478739 -0.00044968 -0.00000728 	-24.57478739 -0.00139200 -0.00002464 
-24.54977489 -0.00047305 -0.00000772 	-24.54977489 -0.00030739 -0.00000467	-24.54977489 -0.00045030 -0.00000730 	-24.54977489 -0.00139404 -0.00002470 
-24.52476238 -0.00047369 -0.00000774 	-24.52476238 -0.00030777 -0.00000468	-24.52476238 -0.00045090 -0.00000732 	-24.52476238 -0.00139610 -0.00002476 
-24.49974987 -0.00047435 -0.00000776 	-24.49974987 -0.00030817 -0.00000469	-24.49974987 -0.00045152 -0.00000734 	-24.49974987 -0.00139816 -0.00002484 
-24.47473737 -0.00047499 -0.00000778 	-24.47473737 -0.00030855 -0.00000470	-24.47473737 -0.00045212 -0.00000736 	-24.47473737 -0.00140024 -0.00002490 
-24.44972486 -0.00047563 -0.00000780 	-24.44972486 -0.00030895 -0.00000472	-24.44972486 -0.00045274 -0.00000738 	-24.44972486 -0.00140232 -0.00002496 
-24.42471236 -0.00047628 -0.00000783 	-24.42471236 -0.00030932 -0.00000473	-24.42471236 -0.00045334 -0.00000740 	-24.42471236 -0.00140440 -0.00002504 
-24.39969985 -0.00047693 -0.00000784 	-24.39969985 -0.00030974 -0.00000474	-24.39969985 -0.00045398 -0.00000742 	-24.39969985 -0.00140648 -0.00002510 
-24.37468734 -0.00047759 -0.00000786 	-24.37468734 -0.00031014 -0.00000475	-24.37468734 -0.00045460 -0.00000744 	-24.37468734 -0.00140858 -0.00002518 
-24.34967484 -0.00047826 -0.00000789 	-24.34967484 -0.00031051 -0.00000477	-24.34967484 -0.00045520 -0.00000746 	-24.34967484 -0.00141070 -0.00002524 
-24.32466233 -0.00047891 -0.00000791 	-24.32466233 -0.00031093 -0.00000478	-24.32466233 -0.00045584 -0.00000748 	-24.32466233 -0.00141278 -0.00002532 
-24.29964982 -0.00047956 -0.00000793 	-24.29964982 -0.00031132 -0.00000479	-24.29964982 -0.00045646 -0.00000750 	-24.29964982 -0.00141492 -0.00002538 
-24.27463732 -0.00048023 -0.00000794 	-24.27463732 -0.00031172 -0.00000480	-24.27463732 -0.00045708 -0.00000752 	-24.27463732 -0.00141702 -0.00002546 
-24.24962481 -0.00048089 -0.00000796 	-24.24962481 -0.00031213 -0.00000482	-24.24962481 -0.00045772 -0.00000754 	-24.24962481 -0.00141916 -0.00002552 
-24.22461231 -0.00048155 -0.00000799 	-24.22461231 -0.00031253 -0.00000483	-24.22461231 -0.00045834 -0.00000756 	-24.22461231 -0.00142126 -0.00002560 
-24.19959980 -0.00048222 -0.00000802 	-24.19959980 -0.00031293 -0.00000484	-24.19959980 -0.00045898 -0.00000758 	-24.19959980 -0.00142342 -0.00002568 
-24.17458729 -0.00048289 -0.00000804 	-24.17458729 -0.00031333 -0.00000485	-24.17458729 -0.00045960 -0.00000760 	-24.17458729 -0.00142554 -0.00002574 
-24.14957479 -0.00048357 -0.00000806 	-24.14957479 -0.00031371 -0.00000486	-24.14957479 -0.00046022 -0.00000762 	-24.14957479 -0.00142770 -0.00002582 
-24.12456228 -0.00048424 -0.00000808 	-24.12456228 -0.00031412 -0.00000488	-24.12456228 -0.00046086 -0.00000764 	-24.12456228 -0.00142986 -0.00002588 
-24.09954977 -0.00048490 -0.00000810 	-24.09954977 -0.00031456 -0.00000489	-24.09954977 -0.00046152 -0.00000766 	-24.09954977 -0.00143200 -0.00002596 
-24.07453727 -0.00048559 -0.00000812 	-24.07453727 -0.00031497 -0.00000490	-24.07453727 -0.00046216 -0.00000768 	-24.07453727 -0.00143418 -0.00002602 
-24.04952476 -0.00048626 -0.00000814 	-24.04952476 -0.00031535 -0.00000491	-24.04952476 -0.00046278 -0.00000770 	-24.04952476 -0.00143634 -0.00002612 
-24.02451226 -0.00048695 -0.00000817 	-24.02451226 -0.00031578 -0.00000492	-24.02451226 -0.00046344 -0.00000772 	-24.02451226 -0.00143854 -0.00002618 
-23.99949975 -0.00048763 -0.00000818 	-23.99949975 -0.00031616 -0.00000494	-23.99949975 -0.00046406 -0.00000774 	-23.99949975 -0.00144072 -0.00002626 
-23.97448724 -0.00048831 -0.00000822 	-23.97448724 -0.00031659 -0.00000495	-23.97448724 -0.00046472 -0.00000776 	-23.97448724 -0.00144290 -0.00002634 
-23.94947474 -0.00048900 -0.00000823 	-23.94947474 -0.00031702 -0.00000496	-23.94947474 -0.00046538 -0.00000778 	-23.94947474 -0.00144510 -0.00002640 
-23.92446223 -0.00048968 -0.00000826 	-23.92446223 -0.00031742 -0.00000497	-23.92446223 -0.00046602 -0.00000780 	-23.92446223 -0.00144730 -0.00002648 
-23.89944972 -0.00049036 -0.00000828 	-23.89944972 -0.00031785 -0.00000499	-23.89944972 -0.00046668 -0.00000782 	-23.89944972 -0.00144952 -0.00002654 
-23.87443722 -0.00049106 -0.00000830 	-23.87443722 -0.00031825 -0.00000500	-23.87443722 -0.00046732 -0.00000784 	-23.87443722 -0.00145174 -0.00002662 
-23.84942471 -0.00049176 -0.00000832 	-23.84942471 -0.00031867 -0.00000503	-23.84942471 -0.00046798 -0.00000788 	-23.84942471 -0.00145396 -0.00002670 
-23.82441221 -0.00049244 -0.00000835 	-23.82441221 -0.00031907 -0.00000504	-23.82441221 -0.00046862 -0.00000790 	-23.82441221 -0.00145618 -0.00002678 
-23.79939970 -0.00049315 -0.00000837 	-23.79939970 -0.00031952 -0.00000505	-23.79939970 -0.00046930 -0.00000792 	-23.79939970 -0.00145842 -0.00002686 
-23.77438719 -0.00049385 -0.00000839 	-23.77438719 -0.00031992 -0.00000506	-23.77438719 -0.00046994 -0.00000794 	-23.77438719 -0.00146066 -0.00002694 
-23.74937469 -0.00049454 -0.00000842 	-23.74937469 -0.00032036 -0.00000508	-23.74937469 -0.00047062 -0.00000796 	-23.74937469 -0.00146290 -0.00002700 
-23.72436218 -0.00049525 -0.00000844 	-23.72436218 -0.00032078 -0.00000509	-23.72436218 -0.00047128 -0.00000798 	-23.72436218 -0.00146516 -0.00002708 
-23.69934967 -0.00049595 -0.00000846 	-23.69934967 -0.00032122 -0.00000510	-23.69934967 -0.00047196 -0.00000800 	-23.69934967 -0.00146742 -0.00002716 
-23.67433717 -0.00049665 -0.00000848 	-23.67433717 -0.00032163 -0.00000511	-23.67433717 -0.00047262 -0.00000802 	-23.67433717 -0.00146970 -0.00002724 
-23.64932466 -0.00049736 -0.00000851 	-23.64932466 -0.00032207 -0.00000514	-23.64932466 -0.00047330 -0.00000806 	-23.64932466 -0.00147196 -0.00002732 
-23.62431216 -0.00049808 -0.00000854 	-23.62431216 -0.00032246 -0.00000515	-23.62431216 -0.00047394 -0.00000808 	-23.62431216 -0.00147424 -0.00002740 
-23.59929965 -0.00049879 -0.00000856 	-23.59929965 -0.00032290 -0.00000517	-23.59929965 -0.00047462 -0.00000810 	-23.59929965 -0.00147652 -0.00002748 
-23.57428714 -0.00049950 -0.00000859 	-23.57428714 -0.00032336 -0.00000518	-23.57428714 -0.00047532 -0.00000812 	-23.57428714 -0.00147882 -0.00002754 
-23.54927464 -0.00050022 -0.00000861 	-23.54927464 -0.00032377 -0.00000516	-23.54927464 -0.00047598 -0.00000812 	-23.54927464 -0.00148112 -0.00002764 
-23.52426213 -0.00050093 -0.00000862 	-23.52426213 -0.00032421 -0.00000520	-23.52426213 -0.00047666 -0.00000816 	-23.52426213 -0.00148342 -0.00002772 
-23.49924962 -0.00050166 -0.00000866 	-23.49924962 -0.00032464 -0.00000521	-23.49924962 -0.00047734 -0.00000818 	-23.49924962 -0.00148574 -0.00002780 
-23.47423712 -0.00050238 -0.00000868 	-23.47423712 -0.00032509 -0.00000524	-23.47423712 -0.00047804 -0.00000822 	-23.47423712 -0.00148806 -0.00002788 
-23.44922461 -0.00050311 -0.00000871 	-23.44922461 -0.00032550 -0.00000525	-23.44922461 -0.00047870 -0.00000824 	-23.44922461 -0.00149038 -0.00002796 
-23.42421211 -0.00050382 -0.00000873 	-23.42421211 -0.00032593 -0.00000524	-23.42421211 -0.00047938 -0.00000824 	-23.42421211 -0.00149270 -0.00002804 
