-24.89994997 -0.00061422 -0.00000965 	-24.89994997 -0.00036049 -0.00000518	-24.89994997 -0.00058382 -0.00000912 	-24.89994997 -0.00162818 -0.00002756 
-24.87493747 -0.00061503 -0.00000968 	-24.87493747 -0.00036092 -0.00000516	-24.87493747 -0.00058458 -0.00000912 	-24.87493747 -0.00163048 -0.00002764 
-24.84992496 -0.00061584 -0.00000969 	-24.84992496 -0.00036136 -0.00000517	-24.84992496 -0.00058534 -0.00000914 	-24.84992496 -0.00163278 -0.00002770 
-24.82491246 -0.00061664 -0.00000972 	-24.82491246 -0.00036178 -0.00000523	-24.82491246 -0.00058610 -0.00000920 	-24.82491246 -0.00163510 -0.00002778 
-24.79989995 -0.00061745 -0.00000974 	-24.79989995 -0.00036221 -0.00000521	-24.79989995 -0.00058686 -0.00000920 	-24.79989995 -0.00163742 -0.00002786 
-24.77488744 -0.00061826 -0.00000978 	-24.77488744 -0.00036266 -0.00000522	-24.77488744 -0.00058764 -0.00000922 	-24.77488744 -0.00163974 -0.00002794 
-24.74987494 -0.00061908 -0.00000981 	-24.74987494 -0.00036311 -0.00000525	-24.74987494 -0.00058842 -0.00000926 	-24.74987494 -0.00164206 -0.00002802 
-24.72486243 -0.00061990 -0.00000983 	-24.72486243 -0.00036353 -0.00000524	-24.72486243 -0.00058918 -0.00000926 	-24.72486243 -0.00164440 -0.00002808 
-24.69984992 -0.00062072 -0.00000985 	-24.69984992 -0.00036398 -0.00000527	-24.69984992 -0.00058996 -0.00000930 	-24.69984992 -0.00164674 -0.00002816 
-24.67483742 -0.00062154 -0.00000988 	-24.67483742 -0.00036442 -0.00000527	-24.67483742 -0.00059074 -0.00000932 	-24.67483742 -0.00164910 -0.00002824 
-24.64982491 -0.00062235 -0.00000990 	-24.64982491 -0.00036484 -0.00000528	-24.64982491 -0.00059150 -0.00000934 	-24.64982491 -0.00165144 -0.00002832 
-24.62481241 -0.00062319 -0.00000993 	-24.62481241 -0.00036530 -0.00000532	-24.62481241 -0.00059230 -0.00000938 	-24.62481241 -0.00165382 -0.00002838 
-24.59979990 -0.00062401 -0.00000995 	-24.59979990 -0.00036575 -0.00000532	-24.59979990 -0.00059308 -0.00000940 	-24.59979990 -0.00165618 -0.00002846 
-24.57478739 -0.00062485 -0.00000998 	-24.57478739 -0.00036618 -0.00000536	-24.57478739 -0.00059386 -0.00000944 	-24.57478739 -0.00165856 -0.00002854 
-24.54977489 -0.00062568 -0.00001000 	-24.54977489 -0.00036662 -0.00000534	-24.54977489 -0.00059464 -0.00000944 	-24.54977489 -0.00166094 -0.00002862 
-24.52476238 -0.00062652 -0.00001004 	-24.52476238 -0.00036708 -0.00000537	-24.52476238 -0.00059544 -0.00000948 	-24.52476238 -0.00166334 -0.00002870 
-24.49974987 -0.00062735 -0.00001006 	-24.49974987 -0.00036754 -0.00000538	-24.49974987 -0.00059624 -0.00000950 	-24.49974987 -0.00166572 -0.00002878 
-24.47473737 -0.00062819 -0.00001008 	-24.47473737 -0.00036797 -0.00000538	-24.47473737 -0.00059702 -0.00000952 	-24.47473737 -0.00166814 -0.00002886 
-24.44972486 -0.00062904 -0.00001011 	-24.44972486 -0.00036843 -0.00000540	-24.44972486 -0.00059782 -0.00000954 	-24.44972486 -0.00167054 -0.00002892 
-24.42471236 -0.00062987 -0.00001014 	-24.42471236 -0.00036888 -0.00000542	-24.42471236 -0.00059862 -0.00000958 	-24.42471236 -0.00167296 -0.00002902 
-24.39969985 -0.00063072 -0.00001016 	-24.39969985 -0.00036934 -0.00000541	-24.39969985 -0.00059942 -0.00000958 	-24.39969985 -0.00167536 -0.00002910 
-24.37468734 -0.00063157 -0.00001020 	-24.37468734 -0.00036979 -0.00000544	-24.37468734 -0.00060022 -0.00000962 	-24.37468734 -0.00167780 -0.00002918 
-24.34967484 -0.00063242 -0.00001021 	-24.34967484 -0.00037022 -0.00000545	-24.34967484 -0.00060100 -0.00000964 	-24.34967484 -0.00168024 -0.00002924 
-24.32466233 -0.00063327 -0.00001025 	-24.32466233 -0.00037066 -0.00000548	-24.32466233 -0.00060180 -0.00000968 	-24.32466233 -0.00168268 -0.00002934 
-24.29964982 -0.00063414 -0.00001027 	-24.29964982 -0.00037114 -0.00000549	-24.29964982 -0.00060262 -0.00000970 	-24.29964982 -0.00168512 -0.00002940 
-24.27463732 -0.00063499 -0.00001030 	-24.27463732 -0.00037161 -0.00000551	-24.27463732 -0.00060344 -0.00000974 	-24.27463732 -0.00168758 -0.00002950 
-24.24962481 -0.00063584 -0.00001033 	-24.24962481 -0.00037205 -0.00000550	-24.24962481 -0.00060424 -0.00000974 	-24.24962481 -0.00169004 -0.00002958 
-24.22461231 -0.00063671 -0.00001035 	-24.22461231 -0.00037252 -0.00000553	-24.22461231 -0.00060506 -0.00000978 	-24.22461231 -0.00169250 -0.00002966 
-24.19959980 -0.00063759 -0.00001038 	-24.19959980 -0.00037299 -0.00000556	-24.19959980 -0.00060588 -0.00000982 	-24.19959980 -0.00169498 -0.00002974 
-24.17458729 -0.00063844 -0.00001041 	-24.17458729 -0.00037345 -0.00000557	-24.17458729 -0.00060670 -0.00000984 	-24.17458729 -0.00169746 -0.00002982 
-24.14957479 -0.00063931 -0.00001043 	-24.14957479 -0.00037392 -0.00000557	-24.14957479 -0.00060752 -0.00000986 	-24.14957479 -0.00169994 -0.00002990 
-24.12456228 -0.00064018 -0.00001047 	-24.12456228 -0.00037438 -0.00000558	-24.12456228 -0.00060834 -0.00000988 	-24.12456228 -0.00170244 -0.00003000 
-24.09954977 -0.00064105 -0.00001050 	-24.09954977 -0.00037484 -0.00000558	-24.09954977 -0.00060916 -0.00000990 	-24.09954977 -0.00170494 -0.00003008 
-24.07453727 -0.00064193 -0.00001052 	-24.07453727 -0.00037532 -0.00000562	-24.07453727 -0.00061000 -0.00000994 	-24.07453727 -0.00170746 -0.00003016 
-24.04952476 -0.00064281 -0.00001055 	-24.04952476 -0.00037578 -0.00000562	-24.04952476 -0.00061082 -0.00000996 	-24.04952476 -0.00170998 -0.00003024 
